"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote"
BAYVIEW MEDICAL CENTER INC,49C0001015,1568466209,SUFFOLK,VA,23434,2019,N/A,5,N/A,5,1001,No Different Than the National Rate,13.3,9.9,17.5,,N/A,5,N/A,5
BON SECOURS SURGERY CENTER AT HARBOUR VIEW LLC DBA BON SECOURS SURGERY CENTER AT HARBOUR VIEW,49C0001049,1568505899,SUFFOLK,VA,23435,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.74,,0.61,
LASER THERAPY INC,05C0001065,1568551901,LOS ANGELES,CA,90057,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
EASTERN ORANGE AMBULATORY SURGERY CENTER LLC,33C0001097,1568583896,CORNWALL,NY,12518,2019,90.70,,N/A,5,1328,No Different Than the National Rate,10.6,8.0,13.9,,83.33,,0.60,
VILLAGES ENDOSCOPY AND SURGICAL CENTER LLC,10C0001423,1568674281,SUMMERFIELD,FL,34491,2019,N/A,5,N/A,5,599,No Different Than the National Rate,12.3,9.2,16.9,,N/A,5,N/A,5
PETERS TOWNSHIP SURGERY CENTER,39C0001297,1568742138,MCMURRAY,PA,15317,2019,84.00,,N/A,5,77,No Different Than the National Rate,11.7,8.3,16.4,,96.79,,0.00,
CEDAR PARK SURGERY CENTER LLC,45C0001517,1568776615,CEDAR PARK,TX,78613,2019,N/A,5,N/A,5,291,No Different Than the National Rate,12.0,8.7,16.8,,N/A,5,N/A,5
SURGERY CENTER OF CALIFORNIA,05C0002181,1568814010,CHULA VISTA,CA,91911,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,1.03,
SUTTER BAY MEDICAL FOUNDATION DBA SURGERY CENTER LOS ALTOS,05C0002141,1568851327,LOS ALTOS,CA,94024,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
EMORY AMBULATORY SURGERY CENTER AT CLIFTON ROAD,11C0001420,1568884104,ATLANTA,GA,30338,2019,4.10,,N/A,5,1062,No Different Than the National Rate,10.9,8.1,14.5,,12.53,,0.70,
HOUSTON UROLOGIC SURGICENTER LLC,45C0001530,1568906212,HOUSTON,TX,77027,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
ORTHOPEDIC SURGERY CENTER OF PALM BEACH COUNTY LLC,10C0001607,1568918746,BOYNTON BEACH,FL,33437,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
BAPTIST HEALTH ENDOSCOPY CENTER AT MIAMI BEACH,10C0001636,1568963189,MIAMI BEACH,FL,,2019,N/A,5,N/A,5,46,No Different Than the National Rate,11.7,8.3,16.1,,N/A,5,N/A,5
"ST DAVIDS AUSTIN AREA ASC, LLC DBA ST DAVIDS AUSTIN SURGERY CENTER",45C0001663,1568979805,AUSTIN,TX,78758,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
WEST MICHIGAN SURGICAL CENTER LLC,23C0001138,1568981975,ZEELAND,MI,49464,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.43,,N/A,5
TRUXTUN SURGERY CENTER INC,05C0001357,1578505079,BAKERSFIELD,CA,93309,2019,N/A,5,N/A,5,3562,No Different Than the National Rate,10.7,8.6,13.3,,N/A,5,N/A,5
CLERMONT AMBULATORY SURGICAL CENTER,10C0001458,1578508875,CLERMONT,FL,34711,2019,N/A,5,N/A,5,672,No Different Than the National Rate,11.1,8.2,15.0,,N/A,5,N/A,5
BLACK CANYON SURGICAL CENTER LLC,06C0001109,1578515367,MONTROSE,CO,81401,2019,100.00,,N/A,5,490,No Different Than the National Rate,11.6,8.4,16.0,,98.83,,0.32,
DIGESTIVE HEALTH CENTER OF INDIANA PC,39C0001205,1578518247,INDIANA,PA,15701,2019,54.37,,N/A,5,216,No Different Than the National Rate,13.1,9.4,18.7,,N/A,5,N/A,5
PRINCETON ENDOSCOPY CENTER LLC,31C0001189,1578525283,PRINCETON,NJ,08540,2019,N/A,5,N/A,5,1751,No Different Than the National Rate,12.3,9.3,16.1,,N/A,5,N/A,5
GASTROINTESTINAL CENTER OF HIALEAH LLC,10C0001137,1578525853,HIALEAH,FL,33012,2019,N/A,5,N/A,5,228,No Different Than the National Rate,11.8,8.6,16.3,,N/A,5,N/A,5
PHYSICIANS SURGICAL CENTER OF FT WORTH LLP DBA BAYLOR SURGICARE AT FORT WORTH,45C0001357,1578530226,FORT WORTH,TX,76104,2019,N/A,5,N/A,5,274,No Different Than the National Rate,11.6,8.5,16.1,,N/A,5,N/A,5
NORTHEAST ENDOSCOPY CENTER LLC,11C0001276,1578531208,LAWRENCEVILLE,GA,30046,2019,84.97,,N/A,5,2136,No Different Than the National Rate,11.5,9.0,14.9,,N/A,5,N/A,5
DCA DIAGNOSTICS LLC,11C0001273,1578536686,LITHIA SPRINGS,GA,30122,2019,N/A,5,N/A,5,1503,No Different Than the National Rate,13.1,10.1,17.3,,N/A,5,N/A,5
KINGSPORT ENDOSCOPY CORPORATION,44C0001028,1578558078,KINGSPORT,TN,37660,2019,97.09,,N/A,5,1954,No Different Than the National Rate,13.0,10.1,16.7,,N/A,5,N/A,5
THE ENDOSCOPY CENTER AT ST FRANCIS LLC,15C0001058,1578561890,INDIANAPOLIS,IN,46237,2019,87.74,,N/A,5,3040,No Different Than the National Rate,12.8,10.3,15.8,,N/A,5,N/A,5
ADVANCED AMBULATORY SURGICAL CARE LP,26C0001087,1578566758,CREVE COEUR,MO,63141,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
E RONALD SALVITTI M D DBA SOUTHWESTERN PA EYE SURGERY CENTER,39C0001027,1578567954,WASHINGTON,PA,15301,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.04,
KELSEY SEYBOLD CLINIC ASC MAIN,45C0001260,1578593224,HOUSTON,TX,77025,2019,N/A,5,N/A,5,103,No Different Than the National Rate,12.4,8.8,17.3,,N/A,5,N/A,5
KELSEY SEYBOLD CLINIC ASC SPRING,45C0001489,1578593224,HOUSTON,TX,77025,2019,N/A,5,N/A,5,103,No Different Than the National Rate,12.4,8.8,17.3,,N/A,5,N/A,5
SEAFORD ENDOSCOPY CENTER LLC,08C0001028,1578608642,SEAFORD,DE,19973,2019,100.00,,N/A,5,1332,No Different Than the National Rate,12.1,9.2,15.7,,N/A,5,N/A,5
IRVINE ENDOSCOPY AND SURGICAL INSTITUTE DBA UNITED SURGERY CENTER IRVINE,05C0001683,1578652152,IRVINE,CA,92618,2019,N/A,5,N/A,5,567,No Different Than the National Rate,11.4,8.5,15.5,,N/A,5,N/A,5
GREENVILLE SURGERY CENTER LP,42C0001079,1578722633,GREENVILLE,SC,29605,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.32,
THE ENDOSCOPY CENTER OF WEST CENTRAL OHIO LLC,36C0001243,1578745568,LIMA,OH,45806,2019,N/A,5,N/A,5,3117,No Different Than the National Rate,11.4,9.1,14.4,,N/A,5,N/A,5
GEORGIA BONE AND JOINT SURGEONS PC,11C0001140,1578748620,CARTERSVILLE,GA,30121,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,95.61,,N/A,5
PLEASANTDALE AMBULATORY CARE LLC,31C0001300,1578805982,WEST ORANGE,NJ,07052,2019,N/A,5,N/A,5,157,No Different Than the National Rate,12.1,8.7,17.0,,N/A,5,N/A,5
NORTH ATLANTA EYE SURGERY CENTER LLC,11C0001388,1578837258,CUMMING,GA,30041,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.33,
MORLEDGE FAMILY SURGERY CENTER,27C0001024,1578895207,BILLINGS,MT,59102,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.26,
HABANA AMBULATORY SURGERY CENTER LLC,10C0001605,1578917035,TAMPA,FL,33614,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
SUMMERVILLE ENDOSCOPY CENTER,42C0001086,1578986550,SUMMERVILLE,SC,29485,2019,100.00,,N/A,5,2155,No Different Than the National Rate,13.3,10.3,16.9,,N/A,5,N/A,5
PACIFIC GASTROENTEROLOGY PLLC,50C0001318,1588029870,VANCOUVER,WA,98664,2019,N/A,5,N/A,5,120,No Different Than the National Rate,11.5,8.3,15.6,,N/A,5,N/A,5
CLARKE COUNTY ENDOSCOPY CENTER DBA ATHENS CLARKE COUNTY ENDOSCOPY CENTER,11C0001455,1588030704,ATHENS,GA,30601,2019,N/A,5,N/A,5,1525,No Different Than the National Rate,11.2,8.6,14.5,,N/A,5,N/A,5
SARATOGA SURGICAL CENTER LLC,45C0001615,1588039465,CORPUS CHRISTI,TX,78414,2019,94.12,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,99.77,,0.17,
CENTER FOR SPECIALIZED SURGERY,05C0002049,1588092605,SANTA BARBARA,CA,93105,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,96.66,,N/A,5
DOCTORS OUTPATIENT SURGERY CENTER,28C0001062,1588119283,LINCOLN,NE,68510,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
CHASE GARDENS SURGERY CENTER LLC,38C0001082,1588181275,EUGENE,OR,97401,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,1,0.53,
TEXAS HEALTH HUGULEY SURGERY CENTER LLC,45C0001640,1588190904,BURLESON,TX,76028,2019,79.66,,N/A,5,437,No Different Than the National Rate,11.3,8.4,15.5,,100.00,,0.93,
PHYSICIANS DAY SURGERY CENTER,04C0001055,1588603351,LITTLE ROCK,AR,72223,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.13,
THE SURGERY CENTER INDIANAPOLIS LLC,15C0001146,1588607154,CARMEL,IN,46032,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
OKLAHOMA OUTPATIENT SURGERY LIMITED PARTNERSHIP,37C0001003,1588628358,OKLAHOMA CITY,OK,73134,2019,68.25,,N/A,5,287,No Different Than the National Rate,13.2,9.6,18.0,,100.00,,0.16,
PORTSMOUTH REGIONAL AMBULATORY SURGERY CENTER LLC,30C0001022,1588628366,PORTSMOUTH,NH,03801,2019,95.24,,N/A,5,286,No Different Than the National Rate,12.6,9.1,17.5,,99.75,,1.28,
BLAKE WOODS MEDICAL PARK SURGERY CENTER,23C0001032,1588631832,JACKSON,MI,49201,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.26,
PREMIUM SURGERY CENTER LLC,36C0001140,1588633184,ELYRIA,OH,44035,2019,N/A,5,N/A,5,469,No Different Than the National Rate,12.4,9.1,16.7,,N/A,5,N/A,5
BGC HOLDINGS INC,10C0001319,1588633481,JACKSONVILLE,FL,32204,2019,100.00,,N/A,5,3415,No Different Than the National Rate,12.0,9.7,14.9,,N/A,5,N/A,5
WESTGLEN ENDOSCOPY CENTER LLC,17C0001035,1588644520,SHAWNEE,KS,66217,2019,N/A,5,N/A,5,1054,No Different Than the National Rate,13.0,9.7,17.3,,N/A,5,N/A,5
SAINT THOMAS CAMPUS SURGICARE LP,44C0001119,1588656508,NASHVILLE,TN,37205,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.31,
THOMAS EYE SURGERY CENTER LLC,11C0001258,1588663512,SANDY SPRINGS,GA,30328,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.00,
RF EYE PC DBA COCHISE EYE AND LASER,03C0001054,1588665269,SIERRA VISTA,AZ,85635,2019,N/A,5,100.00,,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.00,
BRADFORD PLACE SURGERY AND LASER CENTERLLC,26C0001064,1588667208,SPRINGFIELD,MO,65804,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.29,
MIRAGE ENDOSCOPY CENTER LP,05C0001594,1588668503,RANCHO MIRAGE,CA,92270,2019,N/A,5,N/A,5,7018,Better Than the National Rate,9.5,7.8,11.4,,N/A,5,N/A,5
SPECIALTY SURGICAL CENTER OF ENCINO,05C0001531,1588679179,ENCINO,CA,91436,2019,100.00,,N/A,5,1679,No Different Than the National Rate,11.6,8.8,15.1,,100.00,,N/A,5
CONSTITUTION SURGERY CENTER EAST LLC,07C0001030,1588681373,WATERFORD,CT,06385,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,89.63,,0.61,
LEXINGTON MEDICAL CENTER IRMO,42C0001012,1588689020,IRMO,SC,29212,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.85,,N/A,5
SEATTLE HAND SURGERY GROUP PC,50C0001030,1588711162,SEATTLE,WA,98122,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,1,N/A,5
SOUTHEASTERN GASTROENTEROLOGY ENDOSCOPY CENTER PA,34C0001167,1588720072,LUMBERTON,NC,28358,2019,N/A,5,N/A,5,154,No Different Than the National Rate,13.6,9.8,18.6,,N/A,5,N/A,5
FILUTOWSKI EYE INSTITUTE PA DBA LAKE MARY SURGICAL CENTER,10C0001285,1588735708,LAKE MARY,FL,32746,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.00,
VALLEY GASTROENTEROLOGY PS,50C0001171,1588743009,SPOKANE VALLEY,WA,99216,2019,92.72,,N/A,5,1522,No Different Than the National Rate,12.7,9.7,16.5,,N/A,5,N/A,5
TALLAHASSEE OUTPATIENT SURGERY CENTER,10C0001163,1588746333,TALLAHASSEE,FL,32308,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.88,,N/A,5
NORTHWEST ENDOSCOPY CENTER LLC,50C0001082,1588765739,BELLINGHAM,WA,98225,2019,95.51,,N/A,5,3940,Better Than the National Rate,9.4,7.5,11.9,,N/A,5,N/A,5
YOUNG EYE INSTITUTE,37C0001016,1588777130,LAWTON,OK,73505,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.19,
SERRA COMMUNITY MEDICAL CLINIC INC,05C0001546,1588787790,SUN VALLEY,CA,91352,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
SPOKANE DIGESTIVE DISEASE CENTER PS,50C0001074,1588797807,SPOKANE,WA,99204,2019,96.29,,N/A,5,4342,No Different Than the National Rate,14.0,11.3,17.1,,N/A,5,N/A,5
NATIONAL PARK ENDOSCOPY CENTER LLC DBA SOUTH CENTRAL ENDOSCOPY,04C0001081,1588802987,HOT SPRINGS,AR,71901,2019,29.09,,N/A,5,2022,No Different Than the National Rate,11.7,9.0,15.1,,N/A,5,N/A,5
ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,01C0001051,1588854772,BIRMINGHAM,AL,35209,2019,N/A,5,N/A,5,2187,No Different Than the National Rate,13.7,10.8,17.5,,N/A,5,N/A,5
PACIFIC ENDO SURGICAL CENTER LP,05C0001558,1588867030,TORRANCE,CA,90505,2019,N/A,5,N/A,5,1657,No Different Than the National Rate,10.6,8.0,13.9,,N/A,5,N/A,5
CENTRAL ENDOSCOPY CENTER,05C0001838,1588867170,SANTA CLARA,CA,95050,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
FREEWAY SURGERY CENTER LLC DBA LEGACY SURGERY CENTER,04C0001077,1588876817,LITTLE ROCK,AR,72204,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,86.19,,N/A,5
BAYSIDE ENDOSCOPY CENTER LLC,41C0001009,1588879266,EAST GREENWICH,RI,02818,2019,100.00,,N/A,5,2630,No Different Than the National Rate,10.4,8.2,13.3,,N/A,5,N/A,5
WESTSIDE GI CENTER,33C0001127,1588938682,NEW YORK,NY,10019,2019,N/A,5,N/A,5,2166,No Different Than the National Rate,10.7,8.3,13.9,,N/A,5,N/A,5
MONROE COUNTY SURGICAL CENTER LLC,14C0001150,1588963961,WATERLOO,IL,62298,2019,N/A,5,N/A,5,120,No Different Than the National Rate,11.6,8.3,16.1,,N/A,5,N/A,5
THE EYE SURGICAL CENTER OF FORT WAYNE LLC,15C0001012,1588991228,FORT WAYNE,IN,46802,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.48,
LOHMAN ENDOSCOPY CENTER LLC,32C0001120,1598042343,LAS CRUCES,NM,88011,2019,100.00,,N/A,5,3111,No Different Than the National Rate,13.3,10.8,16.5,,N/A,5,N/A,5
MID STATE ENDOSCOPY CENTER,44C0001177,1598083594,MURFREESBORO,TN,37130,2019,N/A,5,N/A,5,396,No Different Than the National Rate,11.4,8.3,15.6,,N/A,5,N/A,5
TARBORO ENDOSCOPY CENTER LLC,34C0001170,1598093007,TARBORO,NC,27886,2019,100.00,,N/A,5,624,No Different Than the National Rate,12.6,9.4,17.2,,N/A,5,N/A,5
MEMORIAL HERMANN MEMORIAL VILLAGE SURGERY CENTER,45C0001513,1598096802,HOUSTON,TX,77043,2019,N/A,5,N/A,5,243,No Different Than the National Rate,12.8,9.2,17.6,,N/A,5,N/A,5
WESTHEALTH SURGERY CENTER,24C0001017,1598165664,PLYMOUTH,MN,55441,2019,91.26,,N/A,5,172,No Different Than the National Rate,11.4,8.1,15.8,,97.14,,0.22,
SANFORD HEALTH DICKINSON AMBULATORY SURGERY CTR,35C0001025,1598185597,DICKINSON,ND,58601,2019,N/A,5,N/A,5,379,No Different Than the National Rate,12.4,8.9,17.1,,N/A,5,N/A,5
BELTWAY SURGERY CENTERS DBA SAXONY SURGERY CENTER,15C0001178,1598270076,FISHERS,IN,46037,2019,N/A,5,N/A,5,197,No Different Than the National Rate,11.5,8.2,15.8,,N/A,5,N/A,5
LIBERTY ENDOSCOPY CENTER,36C0001312,1598275703,LIBERTY TOWNSHIP,OH,45044,2019,97.17,,N/A,5,598,No Different Than the National Rate,12.0,8.8,16.2,,N/A,5,N/A,5
CENTER FOR MINIMALLY INVASIVE SURGERY,14C0001094,1598700841,MOKENA,IL,60448,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.27,
SURGICARE OF ST ANDREWS LTD,10C0001197,1598729329,VENICE,FL,34285,2019,100.00,,N/A,5,860,No Different Than the National Rate,13.0,9.8,17.4,,100.00,,0.00,
MIDWEST EYE SURGERY CENTER LLC,28C0001025,1598744732,OMAHA,NE,68131,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,1,0.22,
OUTPATIENT SURGERY CENTER OF JONESBORO LLC,04C0001053,1598758153,JONESBORO,AR,72401,2019,97.73,,N/A,5,2126,No Different Than the National Rate,14.0,11.0,17.9,,94.79,,N/A,5
DOCTORS UNITED SURGERY CENTER,45C0001077,1598769481,PASADENA,TX,77505,2019,100.00,,N/A,5,215,No Different Than the National Rate,11.5,8.2,16.1,,99.87,,0.38,
UTAH SURGERY CENTER LP,46C0001021,1598772634,DRAPER,UT,84020,2019,100.00,,N/A,5,148,No Different Than the National Rate,11.4,8.2,16.2,,99.90,,2.78,
SURGERY CENTER OF POTTSVILLE LP,39C0001234,1598773111,POTTSVILLE,PA,17901,2019,N/A,5,N/A,5,165,No Different Than the National Rate,12.7,9.2,18.0,,N/A,5,N/A,5
SURGERY CENTER OF COLUMBIA COUNTY LLC,11C0001289,1598775231,EVANS,GA,30809,2019,N/A,5,N/A,5,223,No Different Than the National Rate,12.5,9.1,17.3,,N/A,5,N/A,5
SURGERY CENTER OF LYNCHBURG,49C0001023,1598797714,LYNCHBURG,VA,24501,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.50,,0.09,
ENDOSCOPY CENTER OF SAN JOSE,05C0001553,1598815110,SAN JOSE,CA,95128,2019,70.91,,N/A,5,343,No Different Than the National Rate,11.1,8.1,15.4,,N/A,5,N/A,5
ORTHOPAEDIC ASSOCIATES SURGERY CENTER LLC,11C0001225,1598847139,AUGUSTA,GA,30901,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,95.98,,N/A,5
DIGESTIVE DISEASES CENTER OF HATTIESBURG LLC,25C0001053,1598879009,HATTIESBURG,MS,39402,2019,95.78,,N/A,5,2846,No Different Than the National Rate,12.7,10.1,15.9,,N/A,5,N/A,5
ISLAND ENDOSCOPY CENTER LLC,33C0001106,1598905317,WEST ISLIP,NY,11795,2019,26.53,,N/A,5,2446,No Different Than the National Rate,9.5,7.3,12.2,,N/A,5,N/A,5
LAKE CITY SURGERY CENTER LLC,10C0001276,1598965634,LAKE CITY,FL,32024,2019,88.57,,N/A,5,1059,No Different Than the National Rate,13.7,10.5,17.8,,N/A,5,N/A,5
SURGICAL ELITE OF AVONDALE,03C0001298,1598996894,AVONDALE,AZ,85392,2019,N/A,5,N/A,5,455,No Different Than the National Rate,12.8,9.4,17.4,,N/A,5,N/A,5
EYE SURGICENTER LLC,10C0001053,1609026533,GAINESVILLE,FL,32606,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.14,
THE EYE CLINIC SURGERY CENTER,03C0001310,1609039056,COTTONWOOD,AZ,86326,2019,97.96,,N/A,5,394,No Different Than the National Rate,13.6,10.0,18.4,,89.47,,0.67,
INDIANA ENDOSCOPY CENTERS LLC,15C0001045,1609051515,INDIANAPOLIS,IN,46202,2019,N/A,5,N/A,5,1004,No Different Than the National Rate,12.4,9.3,16.2,,N/A,5,N/A,5
BELTWAY SURGERY CENTERS LLC,15C0001122,1609052679,INDIANAPOLIS,IN,46290,2019,N/A,5,N/A,5,1407,No Different Than the National Rate,13.5,10.4,17.5,,N/A,5,N/A,5
UCSD AMBULATORY SURGERY CENTER LLC,05C0001207,1609056290,SAN DIEGO,CA,92122,2019,N/A,5,N/A,5,203,No Different Than the National Rate,13.1,9.5,18.0,,N/A,5,N/A,5
TOURNEY PLAZA SURGICAL CENTER,05C0001943,1609103399,VALENCIA,CA,91355,2019,N/A,5,N/A,5,221,No Different Than the National Rate,11.2,8.0,15.5,,N/A,5,N/A,5
CAROLINA HEALTHCARE ASSOCIATES INC,34C0001151,1609124650,WILMINGTON,NC,28401,2019,100.00,,N/A,5,3293,No Different Than the National Rate,11.0,8.8,13.9,,N/A,5,N/A,5
SAN ANTONIO GASTROENTEROLOGY ENDOSCOPY CENTER MED CENTER,45C0001529,1609153329,SAN ANTONIO,TX,78229,2019,N/A,5,N/A,5,1991,No Different Than the National Rate,12.6,9.8,16.2,,N/A,5,N/A,5
BAYLOR SURGICARE AT PLANO PARKWAY LLC DBA BAYLOR SCOTT AND WHITE SURGICARE PLANO PARKWAY,45C0001214,1609179415,PLANO,TX,75093,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
MARSHALL SURGERY CENTER LLC,24C0001084,1609204197,MARSHALL,MN,56258,2019,N/A,5,N/A,5,158,No Different Than the National Rate,12.8,9.2,17.8,,N/A,5,N/A,5
HURST AMBULATORY SURGERY CENTER LLC DBA PRECINCT AMBULATORY SURGERY CENTER LLC,45C0001565,1609206614,HURST,TX,76054,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
BUFORD EYE SURGERY CENTER,11C0001432,1609285386,BUFORD,GA,30519,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.22,
AFFILIATED ENDOSCOPY SERVICES OF CLIFTON LLC,31C0001171,1609803204,CLIFTON,NJ,07013,2019,N/A,5,N/A,5,1037,No Different Than the National Rate,12.3,9.1,16.1,,N/A,5,N/A,5
ORTHOATLANTA SURGERY CENTER OF FAYETTEVILLE LLC,11C0001307,1609815075,FAYETTEVILLE,GA,30214,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,89.13,,N/A,5
TEXAS HEALTH SURGERY CENTER FORT WORTH MIDTOWN,45C0001011,1609831700,FORT WORTH,TX,76104,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.33,
CENTER FOR GASTROINTESTINAL ENDOCSOPY,10C0001350,1609841261,WEST PALM BEACH,FL,33401,2019,N/A,5,N/A,5,2120,No Different Than the National Rate,12.3,9.6,15.7,,N/A,5,N/A,5
EASTERN CONNECTICUT ENDOSCOPY CENTER,07C0001025,1609864883,NORWICH,CT,06360,2019,N/A,5,N/A,5,1259,No Different Than the National Rate,11.3,8.5,15.1,,N/A,5,N/A,5
DESOTO SURGICARE PARTNERS LTD,45C0001205,1609870336,DALLAS,TX,75237,2019,N/A,5,N/A,5,346,No Different Than the National Rate,11.2,8.0,15.7,,N/A,5,N/A,5
AMBULATORY ENDOSCOPY CENTER OF MARYLAND,21C0001099,1609871680,LAUREL,MD,20707,2019,N/A,5,N/A,5,2433,No Different Than the National Rate,11.9,9.3,15.3,,N/A,5,N/A,5
COLISEUM SAME DAY SURGERY CENTER LP,11C0001007,1609872597,MACON,GA,31217,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.20,
NOVAMED SURGERY CENTER OF MERRILLVILLE LLC,15C0001036,1609874254,MERRILLVILLE,IN,46410,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.00,
PEAK ONE SURGERY CENTER LLC,06C0001106,1609876556,FRISCO,CO,80443,2019,N/A,5,N/A,5,449,No Different Than the National Rate,11.7,8.5,16.1,,N/A,5,N/A,5
CENTER ONE SURGERY CENTER,10C0001494,1609931229,JACKSONVILLE,FL,32256,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
LASER SURGERY CTR,05C0001367,1609938570,WALNUT CREEK,CA,94598,2019,N/A,5,N/A,5,1605,No Different Than the National Rate,10.0,7.5,13.2,,N/A,5,N/A,5
IOWA ENDOSCOPY CENTER,16C0001006,1609968478,CLIVE,IA,50325,2019,100.00,,N/A,5,3050,No Different Than the National Rate,11.1,8.6,14.1,,N/A,5,N/A,5
HERNANDO ENDOSCOPY AND SURGERY CENTER,10C0001271,1609969302,BROOKSVILLE,FL,34613,2019,100.00,,N/A,5,1539,No Different Than the National Rate,10.2,7.8,13.4,,100.00,,0.24,
UOC SURGICAL SERVICES LTD,39C0001121,1609977610,STATE COLLEGE,PA,16801,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,79.60,,N/A,5
GASTRODIAGNOSTICS A MEDICAL GROUP DBA UNITED SURGERY CENTER ORANGE,05C0001272,1609989946,ORANGE,CA,92868,2019,56.00,,N/A,5,977,No Different Than the National Rate,12.3,9.3,16.4,,N/A,5,N/A,5
RANDOLPH HEALTH MEDICAL GROUP,34C0001037,1619022779,ASHEBORO,NC,27203,2019,N/A,5,N/A,5,305,No Different Than the National Rate,11.3,8.2,15.4,,N/A,5,N/A,5
